task,backend,model,failure_modes_detected,accuracy_delta,overhead_pct,ttf_accuracy,direct_accuracy
gsm_symbolic,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,346.55,1.0,1.0
gsm_symbolic,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,193.6,1.0,1.0
gsm_symbolic,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,196.71,1.0,1.0
gsm_symbolic,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,125.0,1.0,1.0
gsm_symbolic,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,162.56,1.0,1.0
medical_ner,groq,groq/llama-3.3-70b-versatile,"ttf_accuracy_regression,high_overhead_low_gain",-0.125,773.65,0.625,0.75
medical_ner,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,1009.34,0.0,0.0
medical_ner,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,617.44,0.0,0.0
medical_ner,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,757.58,0.25,0.25
medical_ner,groq,groq/llama-3.3-70b-versatile,high_overhead_low_gain,0.0,621.15,0.0,0.0
template_fill,groq,groq/llama-3.3-70b-versatile,"unnecessary_ttf_overhead,high_overhead_low_gain",0.0,929.39,0.0,0.0
template_fill,groq,groq/llama-3.3-70b-versatile,"unnecessary_ttf_overhead,high_overhead_low_gain",0.0,1281.6,0.0,0.0
template_fill,groq,groq/llama-3.3-70b-versatile,"unnecessary_ttf_overhead,high_overhead_low_gain",0.0,1254.68,0.0,0.0
template_fill,groq,groq/llama-3.3-70b-versatile,"unnecessary_ttf_overhead,high_overhead_low_gain",0.0,1616.26,0.0,0.0
template_fill,groq,groq/llama-3.3-70b-versatile,"unnecessary_ttf_overhead,high_overhead_low_gain",0.0,1108.37,0.3333333333333333,0.3333333333333333
